city,population_proper
"Abbott, VA",
"Burkeville, VA",406.0
"Wallace, VA",
"Bull Run Mountain Estates, VA",
"Falling Spring, VA",
"Chase Crossing, VA",
"Tazewell, VA",4365.0
"Benns Church, VA",
"Cullen, VA",
"Esmont, VA",
"Lovettsville, VA",1985.0
"Seven Mile Ford, VA",
"Brooke, VA",
"Achilles, VA",
"Lewisetta, VA",
"Boones Mill, VA",232.0
"Atkins, VA",
"Norfolk, VA",245115.0
"Belle Haven, VA",528.0
"Ladysmith, VA",
"Whaleyville, VA",
"Middletown, VA",1334.0
"Blue Ridge Shores, VA",
"Montclair, VA",
"Dumfries, VA",5186.0
"Stuart, VA",1376.0
"Berryville, VA",4304.0
"Templeton, VA",
"Winterpock, VA",
"Stevens Creek, VA",
"Millboro, VA",
"Bracey, VA",
"Stanley, VA",1648.0
"Buchanan, VA",1173.0
"Gretna, VA",1237.0
"Elkton, VA",2850.0
"Moneta, VA",
"Glen Wilton, VA",
"Eggleston, VA",
"Yogaville, VA",
"Damascus, VA",797.0
"Rushmere, VA",
"Petersburg, VA",31882.0
"Dumbarton, VA",
"Fort Hunt, VA",
"Goldvein, VA",
"Prices Fork, VA",
"Rio, VA",
"Claremont, VA",346.0
"Sussex, VA",
"Hurt, VA",1265.0
"Fort Chiswell, VA",
"Hallwood, VA",204.0
"Pungoteague, VA",
"Hot Springs, VA",
"Manchester, VA",
"Sandy Level, VA",
"Chatham, VA",1473.0
"West Falls Church, VA",
"Weyers Cave, VA",
"Walkerton, VA",
"Pearisburg, VA",2699.0
"Enon, VA",
"Arvonia, VA",
"Isle of Wight, VA",
"Daleville, VA",
"Matoaca, VA",
"Fair Oaks, VA",
"Temperanceville, VA",
"Gratton, VA",
"Franconia, VA",
"Collinsville, VA",
"Windsor, VA",2683.0
"Cats Bridge, VA",
"Parksley, VA",841.0
"Bland, VA",
"Huntington, VA",
"Brightwood, VA",
"Sanford, VA",
"Chincoteague, VA",2919.0
"Sperryville, VA",
"Waterford, VA",
